,BFC02,BFC04,BMC01,BMC02,BMC03,BMC04,BMC05,BMC08,BMC09,BMC10,WFC01,WFC03,WMC01,WMC02,WMC03,WMC04,WMC05,WMC07,WMC08,WMC09,BFA03,BFA02,BMA02,BMA04,WFA01,WFA02,WMA01,WMA02
QUEEN,4,"""x""",4,2,2,2,4,1,3,3,1,1,2,2,2,3,3,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
RAISE,4,"""x""",4,2,3,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
RANK,4,"""x""",4,2,1,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
RAP,4,"""x""",4,2,1,2,4,1,2,3,2,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
RASH,4,"""x""",4,2,2,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
RING,4,"""x""",4,2,4,2,2,1,2,3,1,1,2,2,3,3,2,3,3,4,1,"""x""",4,4,"""x""",2,"""x""","""x"""
RIP,4,"""x""",4,2,3,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,3,"""x""",2,"""x""","""x"""
ROAD,4,"""x""",4,2,1,2,4,1,3,3,2,1,2,2,3,3,3,3,3,4,1,"""x""",4,4,"""x""",2,"""x""","""x"""
ROAM,4,"""x""",4,2,2,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,4,"""x""",2,"""x""","""x"""
ROCK,4,"""x""",3,2,2,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
ROLL,4,"""x""",4,2,2,2,4,1,2,3,1,1,2,2,2,3,3,3,3,4,1,"""x""",4,5,"""x""",2,"""x""","""x"""
ROSE,4,"""x""",3,2,2,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,5,"""x""",2,"""x""","""x"""
ROW,4,"""x""",3,2,3,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",2,3,"""x""",2,"""x""","""x"""
SACK,4,"""x""",3,2,3,2,4,1,3,3,1,1,1,2,3,3,3,3,3,4,1,"""x""",4,4,"""x""",2,"""x""","""x"""
SAD,4,"""x""",4,2,3,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
SAFE,4,"""x""",4,2,2,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
SAGE,4,"""x""",4,2,1,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
SAIL,4,"""x""",4,2,2,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
SAUCE,4,"""x""",4,2,3,2,4,1,3,3,2,1,2,2,3,3,3,3,3,4,1,"""x""",4,4,"""x""",2,"""x""","""x"""
SCALE,4,"""x""",4,2,1,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,4,"""x""",2,"""x""","""x"""
SCOOP,4,"""x""",4,2,3,2,4,1,3,3,2,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
SCORE,4,"""x""",4,2,2,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
SCOTCH,4,"""x""",3,2,2,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
SCRAP,4,"""x""",3,2,2,2,4,1,3,3,1,1,1,2,3,3,3,3,3,4,1,"""x""",4,3,"""x""",2,"""x""","""x"""
SCREEN,4,"""x""",4,2,1,2,4,3,2,2,2,1,2,2,3,3,3,3,3,4,1,"""x""",4,4,"""x""",2,"""x""","""x"""
SCROLL,4,"""x""",4,2,3,2,4,1,4,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,4,"""x""",2,"""x""","""x"""
SCUM,4,"""x""",4,2,2,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,3,"""x""",2,"""x""","""x"""
SEED,4,"""x""",4,2,2,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,4,"""x""",2,"""x""","""x"""
SHADE,4,"""x""",4,2,1,2,4,1,3,3,1,1,2,2,2,3,3,3,3,4,1,"""x""",4,5,"""x""",2,"""x""","""x"""
SHAG,4,"""x""",4,2,1,2,4,1,2,3,1,1,1,2,3,3,3,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
SHAPE,4,"""x""",3,2,2,1,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
SHARP,4,"""x""",4,2,2,1,4,1,2,3,1,1,1,2,3,3,3,3,3,4,1,"""x""",4,4,"""x""",2,"""x""","""x"""
SHEEP,4,"""x""",4,3,4,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
SHELF,4,"""x""",3,2,2,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,4,"""x""",2,"""x""","""x"""
SHRINK,4,"""x""",4,2,1,2,4,1,2,3,2,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
SIGN,4,"""x""",4,2,4,2,4,1,3,3,1,1,2,3,3,3,3,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
SKIP,4,"""x""",4,3,3,2,4,1,2,3,2,1,2,2,3,3,3,3,3,3,1,"""x""",4,4,"""x""",2,"""x""","""x"""
SMOKE,4,"""x""",4,2,1,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,5,"""x""",2,"""x""","""x"""
SNOB,4,"""x""",3,2,1,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,4,"""x""",2,"""x""","""x"""
SOAP,4,"""x""",4,2,1,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",2,1,"""x""",2,"""x""","""x"""
SOAR,4,"""x""",4,2,1,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,5,"""x""",2,"""x""","""x"""
SOUL,4,"""x""",4,2,2,2,4,1,2,2,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,4,"""x""",2,"""x""","""x"""
SOUP,4,"""x""",4,2,4,2,1,1,3,3,2,1,2,2,3,3,3,3,3,3,1,"""x""",4,4,"""x""",2,"""x""","""x"""
SPACE,4,"""x""",4,2,1,2,4,1,3,3,1,1,2,2,2,3,3,3,3,1,1,"""x""",4,1,"""x""",2,"""x""","""x"""
SPELL,4,"""x""",4,2,3,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",2,2,"""x""",2,"""x""","""x"""
SPY,4,"""x""",4,2,2,2,4,1,3,3,1,1,2,3,3,3,3,3,3,4,1,"""x""",4,4,"""x""",2,"""x""","""x"""
SQUASH,4,"""x""",4,2,3,2,4,1,2,2,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
STALK,4,"""x""",4,2,1,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
STEEL,4,"""x""",4,2,4,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
STORE,4,"""x""",4,2,1,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
STRAIGHT,4,"""x""",4,2,2,2,4,1,2,3,1,1,2,2,2,3,3,4,4,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
STRETCH,4,"""x""",4,2,1,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
STRIKE,4,"""x""",4,2,3,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
SWAMP,4,"""x""",3,2,3,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
TAB,4,"""x""",4,2,1,1,4,1,2,3,1,1,2,2,3,3,2,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
TART,4,"""x""",4,2,2,1,4,1,2,3,1,1,2,4,2,3,3,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
TICK,4,"""x""",3,2,3,2,4,1,4,3,1,1,2,2,2,3,2,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
